age,workclass,education,marital.status,occupation,relationship,race,sex,hours.per.week,Income over 50k? 0=no 1=yes
82,Private,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Female,18,0
54,Private,7th-8th,Divorced,Machine-op-inspct,Unmarried,White,Female,40,0
41,Private,Some-college,Separated,Prof-specialty,Own-child,White,Female,40,0
34,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,45,0
38,Private,10th,Separated,Adm-clerical,Unmarried,White,Male,40,0
74,State-gov,Doctorate,Never-married,Prof-specialty,Other-relative,White,Female,20,1
68,Federal-gov,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Female,40,0
41,Private,Some-college,Never-married,Craft-repair,Unmarried,White,Male,60,1
45,Private,Doctorate,Divorced,Prof-specialty,Unmarried,Black,Female,35,1
38,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,45,1
52,Private,Bachelors,Widowed,Other-service,Not-in-family,White,Female,20,1
32,Private,Masters,Separated,Exec-managerial,Not-in-family,White,Male,55,1
46,Private,Prof-school,Divorced,Prof-specialty,Not-in-family,White,Male,40,1
45,Private,11th,Divorced,Transport-moving,Not-in-family,White,Male,76,1
57,Private,Masters,Divorced,Exec-managerial,Not-in-family,White,Male,50,1
22,Private,Assoc-acdm,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40,1
34,Private,Bachelors,Separated,Sales,Not-in-family,White,Male,50,1
37,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,40,1
29,Private,11th,Separated,Sales,Not-in-family,White,Female,42,0
61,Private,HS-grad,Divorced,Sales,Unmarried,White,Female,25,0
51,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,40,0
21,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
33,Private,1st-4th,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,32,0
49,Private,5th-6th,Married-civ-spouse,Other-service,Husband,White,Male,40,0
37,Self-emp-inc,10th,Never-married,Transport-moving,Not-in-family,White,Male,50,1
38,Private,10th,Never-married,Prof-specialty,Not-in-family,White,Male,90,1
23,Private,Some-college,Separated,Other-service,Not-in-family,White,Male,40,1
59,Self-emp-inc,10th,Widowed,Exec-managerial,Unmarried,White,Female,50,1
52,Private,Prof-school,Divorced,Exec-managerial,Not-in-family,White,Male,60,1
51,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,50,1
60,Self-emp-not-inc,HS-grad,Never-married,Exec-managerial,Not-in-family,Black,Male,50,1
63,Federal-gov,Doctorate,Divorced,Exec-managerial,Not-in-family,White,Female,60,1
53,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,48,1
51,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,50,1
37,Self-emp-not-inc,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,60,1
54,Private,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,40,1
44,Private,Bachelors,Divorced,Exec-managerial,Unmarried,White,Male,50,1
43,Private,Masters,Divorced,Exec-managerial,Unmarried,White,Female,40,1
51,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,40,1
43,Private,Masters,Divorced,Prof-specialty,Unmarried,White,Female,40,1
48,Private,Bachelors,Married-spouse-absent,Sales,Unmarried,White,Female,70,1
71,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,52,0
73,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,40,0
40,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,45,1
50,Private,HS-grad,Widowed,Sales,Not-in-family,White,Female,72,1
51,State-gov,Assoc-voc,Divorced,Tech-support,Not-in-family,White,Male,39,1
42,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,40,1
39,Private,Masters,Never-married,Sales,Not-in-family,White,Male,45,1
32,Private,Bachelors,Never-married,Exec-managerial,Other-relative,White,Male,50,1
53,Private,Some-college,Separated,Craft-repair,Not-in-family,White,Male,45,1
40,Local-gov,Some-college,Never-married,Protective-serv,Not-in-family,White,Male,40,1
38,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,45,1
33,Private,Assoc-voc,Separated,Craft-repair,Not-in-family,White,Male,42,1
43,Private,Assoc-acdm,Divorced,Craft-repair,Not-in-family,White,Male,70,1
50,Self-emp-inc,11th,Never-married,Exec-managerial,Other-relative,White,Male,40,1
44,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,6,1
51,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,40,1
41,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
60,Self-emp-inc,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,70,1
37,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,1
55,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,35,1
39,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,60,1
42,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,1
49,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,55,1
47,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
41,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,1
55,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
39,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,65,1
42,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,1
46,Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,65,1
40,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,1
32,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,48,1
41,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,1
60,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,80,1
31,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,70,1
58,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,1
37,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,1
44,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
39,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1
43,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,55,1
55,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
44,Self-emp-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,1
39,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,67,1
46,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,40,1
39,Private,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,99,1
62,Self-emp-inc,Bachelors,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,1
31,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,40,1
46,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,35,1
46,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,80,1
39,Self-emp-inc,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
39,Private,Prof-school,Married-civ-spouse,Sales,Husband,White,Male,99,1
59,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,1
50,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,1
46,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,55,1
53,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
50,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,30,1
41,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Wife,White,Female,55,1
36,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,45,1
38,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,90,1
54,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,50,1
50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,20,1
47,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,1
47,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,45,1
67,Private,Bachelors,Widowed,Exec-managerial,Not-in-family,White,Male,40,1
